Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE,Postcode_py,address_py
11375,Uttar Pradesh,Ambedkarnagar,Jahagirganj,Lalmanpur,618290,Community health Center,Lalmanpur,17-Oct-19,Medical ,Community Health Centre,26.30716,83.04893833,224176,"Rajesultanpur, Allapur, Ambedkar Nagar District, Uttar Pradesh, 224176, India"
11376,Uttar Pradesh,Lakhimpur-Kherii,Lakhimpur,Lalpur,618788,shiv hospital lalpur,lalpur lakhimpur ,05-Oct-19,Medical ,Bedded Hospital,27.95766667,80.74516167,262701,"Lakhimpur, Lakhimpur Kheri District, Uttar Pradesh, 262701, India"
11377,Uttar Pradesh,Sonebhadra,Ghorawal,Kharuaun,550129,matri shishu kalyan upkendra kharuaun,kharuaun,05-Oct-19,Medical ,Bedded Hospital,24.75301363,82.8296936,231210,"Ghorawal, Sonbhadra District, Uttar Pradesh, 231210, India"
11378,Uttar Pradesh,Prayagraj,Manda,MANDA NO 15,667727,30sharaiya matr avam shishu Bedded Hospital,Manda,25-Aug-19,Medical ,Bedded Hospital,25.10460833,82.262195,212104,"SH102, Manda, Meja, Prayagraj District, Uttar Pradesh, 212104, India"
11379,Uttar Pradesh,Rae Bareli,Jagatpur,Jagatpur,440316,CH Centre,Jagatpur,10-Oct-19,Medical ,Community Health Centre,26.05044833,81.27474333,229402,"CHC Jagatpur, NH30, Jagatpur, Unchahar, Raebareli District, Uttar Pradesh, 229402, India"
11380,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,chanderlok hospital,pilbhit road,24-Aug-19,Medical ,Bedded Hospital,28.35541785,79.44685936,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11381,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Dr deepsh Gupta child hospital,jagatpur,24-Aug-19,Medical ,Bedded Hospital,28.35483124,79.44546959,243001,"Pilibhit By Pass Road, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11382,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,medinova hospital,pilbhit road,24-Aug-19,Medical ,Bedded Hospital,28.35788877,79.45319638,243001,"Peddler By Pass Road, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11383,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,dr Gupta poli clinic and hospital,Deen Dayal puram,13-Nov-19,Medical ,Bedded Hospital,28.385185,79.42213476,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11384,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,sushil hospital,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.38178396,79.42366362,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11385,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,dharamdutt city hospital,prem nagar,13-Nov-19,Medical ,Bedded Hospital,28.37735832,79.42364216,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11386,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,sunnayan eye hospital,prem nagar,13-Nov-19,Medical ,Bedded Hospital,28.37049186,79.42496181,243005,"Sunaina Eyes Hospital, Macnair Rd, Bareilly, Bareilly District, Uttar Pradesh, 243005, India"
11387,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,ajay partima hospital,prem nagar,13-Nov-19,Medical ,Bedded Hospital,28.37623613,79.42286483,229001,"Ajay Pratima Hospital, Pilibhit Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 229001, India"
11388,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Shri sant hospital,ekta nagar,13-Nov-19,Medical ,Bedded Hospital,28.3837527,79.435063,243122,"Muktesh Endoscopy Clinic and Hospital, Stadium Road, Bareilly, Bareilly District, Uttar Pradesh, 243122, India"
11389,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Care hospital stadium road,ekta nagar,13-Nov-19,Medical ,Bedded Hospital,28.38389646,79.4357193,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11390,Uttar Pradesh,Varanasi,Pindra,Marui,682470,samudaek kendr,marui,17-Aug-19,Medical ,Community Health Centre,25.52140718,82.93510105,221208,"Pindra, Varanasi District, Uttar Pradesh, 221208, India"
11391,Uttar Pradesh,Basti,Basti Sadar,Marwatiya,682968,community  health  center ,marwatiya,13-Aug-19,Medical ,Community Health Centre,26.7550565,82.67939465,272001,"Basti, Basti District, Uttar Pradesh, 272001, India"
11392,Uttar Pradesh,Azamgarh,Bilariyaganj,Manpur,677187,D B Health centre Manpur,manpur,10-Aug-19,Medical ,Bedded Hospital,26.14752373,83.203019,276121,"Bilariyaganj, Sagri, Azamgarh District, Uttar Pradesh, 276121, India"
11393,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,khushlok hospital,model Town,13-Nov-19,Medical ,Bedded Hospital,28.37013245,79.43131864,243001,"Stadium Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11394,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,eyenova hospital,ekta nagar,13-Nov-19,Medical ,Bedded Hospital,28.38433569,79.43548635,243122,"Eyenova Eye Hospital, Stadium Road, Bareilly, Bareilly District, Uttar Pradesh, 243122, India"
11395,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,R K nursing home,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.38120997,79.42422152,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11396,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,gurudev multi spacility hospital,prem nagar,13-Nov-19,Medical ,Bedded Hospital,28.37637176,79.42243058,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11397,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,murti nursing home,prem nagar,13-Nov-19,Medical ,Bedded Hospital,28.36761943,79.4261253,243005,"Murti Nursing Home and Urosurgical Centre, Macnair Rd, Bareilly, Bareilly District, Uttar Pradesh, 243005, India"
11398,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Shri ganga Charan aryavardhan hospital,rampur garden,13-Nov-19,Medical ,Bedded Hospital,28.34810078,79.4241786,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11399,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Dr M Khan hospital,ekta nagar,13-Nov-19,Medical ,Bedded Hospital,28.38203073,79.43488598,243001,"Stadium Road, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11400,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,arogyadham hospital,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.3883822,79.42822874,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11401,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,cuties and kids hospital,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.38656635,79.43201779,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11402,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Shri guru harikishan meternity home,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.38405805,79.43320334,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11403,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Dr Basu eye hospital,ekta nagar,13-Nov-19,Medical ,Bedded Hospital,28.38249207,79.43517029,243005,"A. K. Eye Hospital, Stadium Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243005, India"
11404,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,kalasheye hospital,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.38450372,79.42462385,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11405,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,chavi ankur nursing home,Deen Dayal puram,13-Nov-19,Medical ,Bedded Hospital,28.38175966,79.42776237,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11406,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,rameshwaram hospital pvt ltd,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.3867512,79.43111021,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11407,Uttar Pradesh,Maharajganj,Brijmanganj,Brijimanganj Bajar,182139,community health center ,Brijmanganj ,08-Aug-19,Medical ,Community Health Centre,27.19324129,83.20223005,273157,"CHC Brizamanganj, Brijmanganj, Pharenda, Mahrajganj District, Uttar Pradesh, 273157, India"
11408,Uttar Pradesh,Maharajganj,Brijmanganj,Brijimanganj Bajar,182139,jeewan jyoti hospital,Brijmanganj ,08-Aug-19,Medical ,Bedded Hospital,27.19842197,83.19652921,224227,"Brijmanganj, Pharenda, Mahrajganj District, Uttar Pradesh, India"
11409,Uttar Pradesh,Maharajganj,Brijmanganj,Brijimanganj Bajar,182139,national clinic,Brijmanganj ,08-Aug-19,Medical ,Bedded Hospital,27.20166416,83.20029016,273509,"Kolhui, Pharenda, Mahrajganj District, Uttar Pradesh, 273509, India"
11410,Uttar Pradesh,Varanasi,Chiraigaon,Ledhupur,624740,shivnath hospital,ledhupur,11-Aug-19,Medical ,Bedded Hospital,25.36671,83.04274333,221007,"Shivnath Hospital, NH31, Varanasi, Sadar, Varanasi District, Uttar Pradesh, 221007, India"
11411,Uttar Pradesh,S.K. Nagar,Santha,Loharsan,629852,Samudayik Swasthya Kendra Santha Sant kabir Nagar,Loharsan,02-Sep-19,Medical ,Community Health Centre,26.99968181,83.01924168,272270,"SubCentre, Lohrasaan, SH88, Mehdawal, Sant Kabir Nagar District, Uttar Pradesh, 272270, India"
11412,Uttar Pradesh,Jhansi,Mauranipur,Mau Rural,688293,CHC mauranipur,mauranipur,27-Aug-19,Medical ,Community Health Centre,25.25205924,79.13992328,284204,"Mauranipur, Jhansi District, Uttar Pradesh, 284204, India"
11413,Uttar Pradesh,Azamgarh,Palhani,Palhani,810547,hospital,harbanspur,11-Sep-19,Medical ,Bedded Hospital,26.04944455,83.16922272,276001,"Azamgarh, Azamgarh District, Uttar Pradesh, 276001, India"
11414,Uttar Pradesh,Azamgarh,Palhani,Palhani,810547,Rma hospital,harbanspur,10-Sep-19,Medical ,Bedded Hospital,26.04786457,83.17059848,276001,"Rama Multispeciality Hospital & Trauma Centre, NH128B, Azamgarh, Azamgarh District, Uttar Pradesh, 276001, India"
11415,Uttar Pradesh,Azamgarh,Palhani,Palhani,810547,Missan Hospital,harbanspur,11-Sep-19,Medical ,Bedded Hospital,26.04910344,83.16970119,276001,"Azamgarh, Azamgarh District, Uttar Pradesh, 276001, India"
11416,Uttar Pradesh,Azamgarh,Palhani,Palhani,810547,CHC,palhani,11-Sep-19,Medical ,Community Health Centre,26.03781687,83.16046204,276001,"Azamgarh, Azamgarh District, Uttar Pradesh, 276001, India"
11417,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Shri ram Kishore memorial hospital,model Town,13-Nov-19,Medical ,Bedded Hospital,28.37297022,79.43226814,243001,"Stadium Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11418,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Mahajan hospital,Sanjay nagar,13-Nov-19,Medical ,Bedded Hospital,28.37812543,79.43344295,243001,"Stadium Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11419,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,focus helth care,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.38657281,79.43229277,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11420,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,keshlata hospital stadium road,stadium road,13-Nov-19,Medical ,Bedded Hospital,28.38522255,79.43579793,243122,"Eyenova Eye Hospital, Stadium Road, Bareilly, Bareilly District, Uttar Pradesh, 243122, India"
11421,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,CP Sharma hospital,delapir,13-Nov-19,Medical ,Bedded Hospital,28.38620107,79.43599233,243122,"Dr. Cp Sharma Hospital, Pilibhit Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243122, India"
11422,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,aadya meternity home,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.38414431,79.43289578,243001,"Pilibhit Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11423,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,sanjivni nursing home,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.38289976,79.4310075,243001,"Pilibhit Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11424,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,sai hospital stadium road,Sanjay nagar,13-Nov-19,Medical ,Bedded Hospital,28.37809627,79.43341776,243001,"Stadium Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11425,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,khetan hospital Pvt ltd,Sanjay nagar,13-Nov-19,Medical ,Bedded Hospital,28.38083965,79.43433902,243005,"Pragati Maternity Home & Infertility Centre, Stadium Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243005, India"
11426,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Rohit meternity hospital,delapir,13-Nov-19,Medical ,Bedded Hospital,28.39107513,79.42849159,243122,"Agnihotri Rohit Maternity Hospital and Ultrasound Centre, IVRI Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243122, India"
11427,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,mental hospital,shyamganj,13-Nov-19,Medical ,Bedded Hospital,28.35461545,79.42794338,243001,"Bareilly College Ground, Sailani Road, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11428,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,aash nursing home,model Town,13-Nov-19,Medical ,Bedded Hospital,28.37429281,79.43230231,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11429,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,AK eye hospital,ekta nagar,13-Nov-19,Medical ,Bedded Hospital,28.38245451,79.43470359,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11430,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Saral hospital stadium road,Sanjay nagar,13-Nov-19,Medical ,Bedded Hospital,28.38141428,79.43450963,243122,"Saral Critical Care, DD Puram, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243122, India"
11431,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Divine hospital,rajendra nagar,13-Nov-19,Medical ,Bedded Hospital,28.38733077,79.43001509,243001,"Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11432,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Eshan hospital,rampur garden,16-Oct-19,Medical ,Bedded Hospital,28.3532252,79.4273121,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11433,Uttar Pradesh,Kushinagar,Padrauna,Matiarwa Tola,687129,jivan joti hospital ,jungle belwa matiarwa,10-Oct-19,Medical ,Bedded Hospital,26.91171482,84.00072468,274304,"Padrauna, Kushinagar District, Uttar Pradesh, 274304, India"
11434,Uttar Pradesh,Chandauli,Chahania,Chahaniya,189642,puja hospital,vill chahaniya post chahaniya Thana balua,09-Nov-19,Medical ,Bedded Hospital,25.42207002,83.21019427,232109,"Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11435,Uttar Pradesh,Chandauli,Chahania,Chahaniya,189642,jyoti eyes center,vill chahaniya post chahaniya Thana balua,09-Nov-19,Medical ,Community Health Centre,25.42208076,83.21013676,232109,"Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11436,Uttar Pradesh,Prayagraj,Mau Aima,Mauaima,688308,Aisha Hospital ,Mauaima,18-Aug-19,Medical ,Bedded Hospital,25.69459333,81.90482167,212500,"NH330, Mau Aimma, Soraon, Prayagraj District, Uttar Pradesh, 212500, India"
11437,Uttar Pradesh,Prayagraj,Mau Aima,Mauaima,688308,Life Care Hospital ,Mauaima ,18-Aug-19,Medical ,Bedded Hospital,25.70589,81.91213167,212500,"NH330, Mau Aimma, Soraon, Prayagraj District, Uttar Pradesh, 212500, India"
11438,Uttar Pradesh,Prayagraj,Mau Aima,Mauaima,688308,Mahek Hospital ,Mauaima,18-Aug-19,Medical ,Bedded Hospital,25.69464167,81.90487333,212500,"NH330, Mau Aimma, Soraon, Prayagraj District, Uttar Pradesh, 212500, India"
11439,Uttar Pradesh,Azamgarh,Palhna,Palhna,810615,shubham hospital,bharthipur,27-Aug-19,Medical ,Bedded Hospital,25.76849333,83.12056833,209125,"Mehnagar, Azamgarh District, Uttar Pradesh, India"
11440,Uttar Pradesh,Azamgarh,Palhna,Palhna,810615,pratima nursing home,palhna,27-Aug-19,Medical ,Bedded Hospital,25.77600333,83.09906167,209125,"Lalganj, Azamgarh District, Uttar Pradesh, India"
11441,Uttar Pradesh,Azamgarh,Palhna,Palhna,810615,Pragya hosital,palhna,27-Aug-19,Medical ,Bedded Hospital,25.775115,83.10154667,209125,"Lalganj, Azamgarh District, Uttar Pradesh, India"
11442,Uttar Pradesh,Azamgarh,Palhna,Palhna,810615,maa palhmeshwary nursing home,palhna,25-Aug-19,Medical ,Bedded Hospital,25.77494,83.10207167,209125,"Lalganj, Azamgarh District, Uttar Pradesh, India"
11443,Uttar Pradesh,Azamgarh,Palhna,Palhna,810615,ARUSHI NURSING HOME,PALHANA,22-Aug-19,Medical ,Bedded Hospital,25.77405424,83.10208803,209125,"Lalganj, Azamgarh District, Uttar Pradesh, India"
11444,Uttar Pradesh,Basti,Saun Ghat,Lohrauli,630281,Community health center ,Lohrauli,19-Aug-19,Medical ,Community Health Centre,26.84836167,82.79915833,272001,"CHC, SAUGHAT BASTI, NH328, Basti, Basti District, Uttar Pradesh, 272001, India"
11445,Uttar Pradesh,Azamgarh,Palhna,Palhna,810615,BAL CHIKITSHA KENDRA,palhna,17-Aug-19,Medical ,Community Health Centre,25.7831257,83.08943412,276001,"PHC,Palhana, Lalganj, Azamgarh District, Uttar Pradesh, 276001, India"
11446,Uttar Pradesh,Bijnor,Kotwali,Bhagwanpur,132291,Community health centre Bhagwanpur,Bhagwanpur,29-Aug-19,Medical ,Community Health Centre,29.41809693,78.50051309,246762,"Nagina, Bijnor District, Uttar Pradesh, India"
11447,Uttar Pradesh,Bulandshahr,Unchagaon,Bhagwantpur,132555,sub swasth centre,bhagwantpur,15-Nov-19,Medical ,Community Health Centre,28.46523952,78.1804389,204101,"Siana, Bulandshahr District, Uttar Pradesh, India"
11448,Uttar Pradesh,Chandauli,Chahania,Chahaniya,189642,shiv pathology,vill chahaniya post chahaniya Thana balua,09-Nov-19,Medical ,Community Health Centre,25.42294869,83.21128058,232109,"SH69, Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11449,Uttar Pradesh,Chandauli,Chahania,Chahaniya,189642,Vinayak child care center,vill chahaniya post chahaniya Thana balua,09-Nov-19,Medical ,Bedded Hospital,25.42215047,83.21101917,232109,"SH69, Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11450,Uttar Pradesh,Chandauli,Chahania,Chahaniya,189642,samadhan hospital,vill chahaniya post chahaniya Thana balua,09-Nov-19,Medical ,Bedded Hospital,25.42180046,83.21103177,232109,"SH69, Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11451,Uttar Pradesh,Chandauli,Chahania,Chahaniya,189642,priyanshu clinic,vill chahaniya post chahaniya Thana balua,09-Nov-19,Medical ,Community Health Centre,25.42293542,83.21128595,232109,"SH69, Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11452,Uttar Pradesh,Chandauli,Chahania,Chahaniya,189642,navjivan hospital hingutar,hingutar,15-Sep-19,Medical ,Bedded Hospital,25.41943167,83.21514333,232109,"Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11453,Uttar Pradesh,Chandauli,Chahania,Chahaniya,189642,rakchha hospital chahniya ,block road chahniya ,15-Sep-19,Medical ,Bedded Hospital,25.41657667,83.20980167,232109,"Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11454,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Shri ram murti ismarak institute of medical sciences,rampur garden,16-Oct-19,Medical ,Community Health Centre,28.35039675,79.42423224,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11455,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,dr Rajesh children hospital,rampur garden bareilly,13-Oct-19,Medical ,Bedded Hospital,28.35206509,79.4220382,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11456,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Dr Girish Agarwal hospital,rampur garden bareilly,13-Oct-19,Medical ,Bedded Hospital,28.35209727,79.42144811,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11457,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Chandra nursing home,rampur garden bareilly,13-Oct-19,Medical ,Bedded Hospital,28.35411966,79.42184508,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11458,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Dhanwantri Tomer hospital,rampur garden bareilly,13-Oct-19,Medical ,Bedded Hospital,28.35258338,79.42197995,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11459,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,Garg hospital and path lab,rampur garden bareilly,13-Oct-19,Medical ,Bedded Hospital,28.35212855,79.42171513,243001,"Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11460,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,said sukhda hospital,pilbhit road,24-Aug-19,Medical ,Bedded Hospital,28.35787376,79.45314789,243001,"Peddler By Pass Road, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11461,Uttar Pradesh,Bareilly,Kiyara,Jagatpur,440318,guru Sai kirpa hospital,jagatpur,27-Aug-19,Medical ,Bedded Hospital,28.36125563,79.4559265,243001,"Mahatma Jyotiba Phule Rohilkhand University, Bisalpur Road, Bareilly, Bareilly District, Uttar Pradesh, 243001, India"
11462,Uttar Pradesh,Shahjahanpur,Sindhauli,Sindhauli,993708,Lucknow poly clinic,sindhauli,25-Sep-19,Medical ,Bedded Hospital,27.97387156,79.97853611,242103,"NH731, Sindhauli, Powayan, Shahjahanpur District, Uttar Pradesh, 242103, India"
11463,Uttar Pradesh,Bijnor,Afzalgarh,Jai Singh Jot,442556,sub center Jaisingh jot,Jaisingh jot,14-Aug-19,Medical ,Community Health Centre,29.37220833,78.75863333,246701,"Dhampur, Bijnor District, Uttar Pradesh, India"
11464,Uttar Pradesh,Chandauli,Chahania,Singha,995157,tulyanshu care hospital,vill singha post ramgharh Thana balua,09-Nov-19,Medical ,Bedded Hospital,25.42335712,83.21184633,232109,"SH69, Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11465,Uttar Pradesh,Chandauli,Chahania,Singha,995157,sai hospital and Trama center,vill singha post ramgharh Thana balua,09-Nov-19,Medical ,Bedded Hospital,25.42323869,83.21248197,232109,"SH69, Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11466,Uttar Pradesh,Chandauli,Chahania,Singha,995157,shivam hospital,vill singha post singha Thana balua,09-Nov-19,Medical ,Bedded Hospital,25.4245159,83.21218795,232109,"SH69, Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11467,Uttar Pradesh,Chandauli,Chahania,Singha,995157,Ankit drug ajensy hospital,vill singha post laxmangarh thana balua,08-Nov-19,Medical ,Bedded Hospital,25.42417455,83.2117161,232109,"SH69, Chahanta, Sakaldiha, Chandauli District, Uttar Pradesh, 232109, India"
11468,Uttar Pradesh,Ambedkarnagar,Ramnagar,Sipah Khas,996661,Mritunjay hospital,Sipah road ramnagar,25-Sep-19,Medical ,Bedded Hospital,26.44978167,82.90530333,224181,"Baskhari Jahangirganj Rajesultanpur Road, Alapur, Allapur, Ambedkar Nagar District, Uttar Pradesh, 224181, India"
11469,Uttar Pradesh,Maharajganj,Mithaura,Laxmi Pur Tola,623662,Health care center ,laxmipur,04-Sep-19,Medical ,Bedded Hospital,27.14259839,83.66049188,224227,"Maharajganj, Mahrajganj District, Uttar Pradesh, India"
11470,Uttar Pradesh,G.B. Nagar,Dankaur,Sirsa,998199,shanti hospital,sirsa,22-Aug-19,Medical ,Bedded Hospital,28.43307159,77.57881852,247342,"Greater Noida, Gautam Buddha Nagar, Gautam Buddha Nagar District, Uttar Pradesh, India"
11471,Uttar Pradesh,Shahjahanpur,Katra Khudaganj,Siura,1000560,Hospital,katra khudaganj,31-Aug-19,Medical ,Bedded Hospital,28.01433333,79.62817667,242301,"Primary Health Centre, Siura, NH30, Miranpur Katra, Tilhar, Shahjahanpur District, Uttar Pradesh, 242301, India"
11472,Uttar Pradesh,Lakhimpur-Kherii,Behjam,Oeal,794133,lucknow health care hospital oeal ,oeal behjam ,09-Oct-19,Medical ,Bedded Hospital,27.84139833,80.74192833,262725,"Oel Dhakwa, Lakhimpur, Lakhimpur Kheri District, Uttar Pradesh, 262725, India"
11473,Uttar Pradesh,Bulandshahr,Syana,Siyana Rural (dehat),1001471,Community Health Center,"Block- Syana , District- Bulandshahar",14-Oct-19,Medical ,Community Health Centre,28.62520641,78.05449656,245412,"Govt Hospital, MDR50W, Siyana, Siana, Bulandshahr District, Uttar Pradesh, 245412, India"
11474,Uttar Pradesh,Bulandshahr,Syana,Siyana Rural (dehat),1001471,samudayik swasthya Kendra,siyana,11-Sep-19,Medical ,Community Health Centre,28.62519071,78.05455403,245412,"Govt Hospital, MDR50W, Siyana, Siana, Bulandshahr District, Uttar Pradesh, 245412, India"
11475,Uttar Pradesh,Shrawasti,Sirsia,Sirsia,998468,CHC,Sirsia shravasti,10-Aug-19,Medical ,Community Health Centre,27.79901167,82.09045167,271840,"MDR2E, Sirsa, Bhinga, Sharavasti District, Uttar Pradesh, India"
11476,Uttar Pradesh,Maharajganj,Siswa,Siswa Bujurg (bodahwa Tola),999455,shivam hospital ,siswa,27-Aug-19,Medical ,Bedded Hospital,27.14349131,83.75982578,273153,"Siswa Bazar, Nichlaul, Mahrajganj District, Uttar Pradesh, 273153, India"
11477,Uttar Pradesh,Maharajganj,Siswa,Siswa Bujurg (bodahwa Tola),999455,SDDKM hospital ,siswa,19-Aug-19,Medical ,Bedded Hospital,27.15743805,83.76017123,273153,"Siswa Bazar, Nichlaul, Mahrajganj District, Uttar Pradesh, 273153, India"
11478,Uttar Pradesh,Mirzapur,Jamalpur,Jamalpur,447595,community health centre,jamalpur,04-Sep-19,Medical ,Community Health Centre,25.15762522,83.08864544,231302,"APHC JAMALPUR, SH-98, Jaunpur, Mirzapur District, Uttar Pradesh, 231302, India"
