Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
10620,Uttar Pradesh,Chandauli,Chahania,Kailawar,482012,ansehika cilinec chahania,kailawar,15-Sep-19,Medical ,Community Health Centre,25.39044833,83.20020167
10621,Uttar Pradesh,Varanasi,Cholapur,Kaithi,482848,Vijay hospital and trauma centre,kaithi,26-Aug-19,Medical ,Bedded Hospital,25.49526472,83.14704725
10622,Uttar Pradesh,Bijnor,Najibabad,Kalheri,488829,Community health center kalheri,kalheri,28-Sep-19,Medical ,Community Health Centre,29.60509843,78.29424877
10623,Uttar Pradesh,Lucknow,Sarojininagar,Kalli Pachim,491519,SHRI SAI LIFE HOSPITAL,"VIJAY NAGAR, JAGAT KHEDA ROAD, KALLI PASCHIM, LUCKNOW",25-Aug-19,Medical ,Bedded Hospital,26.73397741,80.96148081
10624,Uttar Pradesh,Unnao,Asoha,kalu khera,492992,Fatima Medical Center bedded hospital,kalu khera,17-Aug-19,Medical ,Bedded Hospital,26.55578928,80.90664622
10625,Uttar Pradesh,Chandauli,Chandauli,Churmuli,236626,jan surakchha Hospital,Rema chandauli,08-Nov-19,Medical ,Bedded Hospital,25.25973589,83.13698157
10626,Uttar Pradesh,Varanasi,Arazeeline,rani bazaar,477227,SAHARA HOSPITAL AND LAPROSCOPIC CENTER,Kachnar rajatalab,12-Aug-19,Medical ,Bedded Hospital,25.27137833,82.85775167
10627,Uttar Pradesh,Lucknow,Kakori,Kakori  Atrikt Town,484919,King Hospital ,Kakori Atrikt Town,17-Oct-19,Medical ,Bedded Hospital,26.87960481,80.79963434
10628,Uttar Pradesh,Lucknow,Kakori,Kakori  Atrikt Town,484919,Sushila Clinic ,Kakori Lucknow ,25-Aug-19,Medical ,Bedded Hospital,26.85893834,80.73467374
10629,Uttar Pradesh,Lucknow,Kakori,Kakori  Atrikt Town,484919,Community Health Centr ,Community Health Center Kakori Lucknow ,24-Aug-19,Medical ,Community Health Centre,26.87107039,80.79284318
10630,Uttar Pradesh,Pratapgarh,Rampur Sangramgarh,Kalyanpur,493978,Matri Shishu Klyan Kendra Dhigwas,Dhigwas,12-Aug-19,Medical ,Community Health Centre,25.86312817,81.68379611
10631,Uttar Pradesh,Varanasi,Kashividyapith,Kakarmatta,484326,hospital,kakarmatta ,23-Sep-19,Medical ,Bedded Hospital,25.2864933,82.96879828
10632,Uttar Pradesh,Kanpur Nagar,Kakvan,Kakwan,485505,community health centre ,kakwan,23-Sep-19,Medical ,Community Health Centre,26.74310833,79.97864833
10633,Uttar Pradesh,Bijnor,Najibabad,Kamalpur,495196,community health centre Kamalpur,Kamalpur,29-Sep-19,Medical ,Community Health Centre,29.55948626,78.32311647
10634,Uttar Pradesh,Lucknow,Mall,Gahdo,336287,m h medical hospital,gadho mall lucknow,10-Oct-19,Medical ,Bedded Hospital,27.04308951,80.68338075
10635,Uttar Pradesh,Varanasi,Arazeeline,Kallipur,491722,shruti hospital,kallipur,13-Aug-19,Medical ,Bedded Hospital,25.2743009,82.8154175
10636,Uttar Pradesh,Sonebhadra,Chopan,Dala,244305,ultratech cement works hospital dala chopan Sonebhadra,dala chopan Sonebhadra,30-Sep-19,Medical ,Community Health Centre,24.44577816,83.04130024
10637,Uttar Pradesh,Kaushambi,Kara,Kamasin,496368,amresh mishra trama center and hospital,kamasin,13-Aug-19,Medical ,Bedded Hospital,25.64987144,81.3575534
10638,Uttar Pradesh,Barabanki,Banki,Chandauli,201706,Yograj hospital chandauli,Chandauli,06-Sep-19,Medical ,Bedded Hospital,26.969275,81.18959333
10639,Uttar Pradesh,Aligarh,Chandosh,Chandaus,201738,Samudayik Swasthya Kendra chandosh,chandosh,25-Oct-19,Medical ,Community Health Centre,28.07988562,77.85926244
10640,Uttar Pradesh,Aligarh,Chandosh,Chandaus,201738,Banded Hospital chandaus,chandaus,28-Sep-19,Medical ,Bedded Hospital,28.08355866,77.83413601
10641,Uttar Pradesh,Mainpuri,Sultanganj,dalippur Kaili,245080,swasthya upkendra,bichhawan hanukhera dalippur kaili sultanganj Mainpuri,03-Oct-19,Medical ,Community Health Centre,27.37026833,79.07595667
10642,Uttar Pradesh,Bahraich,Chittaura,Gambhirwa bazar,339025,shyaama Prasad mukharji rural urban rajkiya unani hospital,raipur gambhirwa bazar,06-Sep-19,Medical ,Bedded Hospital,27.66160448,81.54494115
10643,Uttar Pradesh,Gonda,Chhapiya,Chandni Chauk,202774,Krishna Gayatri Sriram Hospital ,Chadnichaowk,01-Sep-19,Medical ,Bedded Hospital,26.97363823,82.3234427
10644,Uttar Pradesh,Azamgarh,Mahrajganj,Chandpur  Akherchanda  Bechiyapura,203242,MISHRA CLINIC,CHANDPUR MAHRAJGANJ,10-Sep-19,Medical ,Bedded Hospital,26.25266539,83.12006107
10645,Uttar Pradesh,Bareilly,Bithri Chainpur,Chanwar,205607,z plus hospital,chanwar,24-Aug-19,Medical ,Bedded Hospital,28.41881454,79.46982443
10646,Uttar Pradesh,Prayagraj,Karchhana,Dewri Kala,266097,argan hospital devari kala,argan hospital devari kala,15-Oct-19,Medical ,Bedded Hospital,25.25218128,82.01100028
10647,Uttar Pradesh,Bijnor,Kiratpur,Kalalpur Bujurg,486528,Community health center Kalapur Bujurg,Kalapur Bujurg,11-Sep-19,Medical ,Community Health Centre,29.47669301,78.28649868
10648,Uttar Pradesh,Kanpur Nagar,Chaubeypur,Chaubepur,209701,Bedded hospital,Chaubeypur,09-Oct-19,Medical ,Bedded Hospital,26.62200972,80.18590987
10649,Uttar Pradesh,Kanpur Nagar,Chaubeypur,Chaubeypur,209751,CHC,chaubeypur,15-Sep-19,Medical ,Community Health Centre,26.6185306,80.18658553
10650,Uttar Pradesh,Jaunpur,Barsathi,Ghanapur,355071,Ashirvad Haspital Ghanapur, Ghanapur,02-Nov-19,Medical ,Bedded Hospital,25.52633333,82.42592167
10651,Uttar Pradesh,Varanasi,Pindra,Cheurapur,215667,samudaek savath kend,cheurapur,29-Aug-19,Medical ,Community Health Centre,25.42810627,82.85254741
10652,Uttar Pradesh,J.B.F.Nagar,Gajraula,Kanka Ther,504320,Deep nursing and multi speciality clinic ,Near ims college kankather gajraula ,26-Sep-19,Medical ,Bedded Hospital,28.7868,78.183595
10653,Uttar Pradesh,J.B.F.Nagar,Gajraula,Kanka Ther,504320,Sanjeevni hospital ,Nh 9 kankather gajraula ,16-Sep-19,Medical ,Bedded Hospital,28.78113,78.18069
10654,Uttar Pradesh,Moradabad,Chhajlet,Kanth,506710,CHC,Kanth,14-Nov-19,Medical ,Community Health Centre,29.06204,78.62679667
10655,Uttar Pradesh,Sultanpur,Kurwar,Dhanrava,288291,chc,dhanrava,22-Oct-19,Medical ,Community Health Centre,26.3341528,81.9477681
10656,Uttar Pradesh,Agra,Pinahat,Chhachiha,215878,shri ramtirth asptal,pinahat,12-Sep-19,Medical ,Bedded Hospital,26.8866054,78.37360326
10657,Uttar Pradesh,Agra,Pinahat,Chhachiha,215878,community health centre ,pinahat,12-Sep-19,Medical ,Community Health Centre,26.88645947,78.37435017
10658,Uttar Pradesh,Prayagraj,Pratappur,Chhatauna,217371,Patel hospital ,chattouna pratappur,27-Aug-19,Medical ,Bedded Hospital,25.50612167,82.17771667
10659,Uttar Pradesh,Mainpuri,Bewar,Chhinkaura Ghariha,218593,upsawath Kendra ,chhinkaura gariya bewar Mainpuri,18-Oct-19,Medical ,Community Health Centre,27.17591333,79.261445
10660,Uttar Pradesh,Gonda,Rupaiyeedeeh,Chhitauni,218875,CHC,Chhitauni,21-Aug-19,Medical ,Community Health Centre,27.28345333,81.91877
10661,Uttar Pradesh,Ghazipur,Jamania,Dewa Bairanpur,265623,CHC ,dewa Baeranpur ,27-Aug-19,Medical ,Community Health Centre,25.51139653,83.56334209
10662,Uttar Pradesh,Kushinagar,Sukrauli,Dewtaha Khas,266466,CHC,dewtaha badhaka tola,08-Sep-19,Medical ,Community Health Centre,26.75218523,83.65843674
10663,Uttar Pradesh,G.B. Nagar,Dankaur,Dhadha,267316,community health centre,VILLAGE DHADHA,17-Aug-19,Medical ,Community Health Centre,28.44832772,77.56675456
10664,Uttar Pradesh,G.B. Nagar,Dadri,Kalounda,492610,community health center kalounda,kalounda dadri,08-Aug-19,Medical ,Community Health Centre,28.54823871,77.67229291
10665,Uttar Pradesh,Basti,Bahadurpur,Kalwari Mustahkam,493637,Community Health Center Bahadurpur,Kalwari  Mustahkam,03-Sep-19,Medical ,Community Health Centre,26.63910278,82.66831693
10666,Uttar Pradesh,Bulandshahr,Khurja,Dharpa Chuharpur,291767,pHC,dharpa,12-Nov-19,Medical ,Community Health Centre,28.30130235,77.85892767
10667,Uttar Pradesh,Mau,Kopaganj,Devkali Bisunpur Chamrauti,264867,Community health center,Dewakali  vishunpur,25-Aug-19,Medical ,Community Health Centre,25.99955333,83.585685
10668,Uttar Pradesh,Bareilly,Bhojipura,Karmapur Chaudhory,515804,Sant Kabir Hospital ,Near Air Force station ,15-Nov-19,Medical ,Bedded Hospital,28.41695434,79.4279875
10669,Uttar Pradesh,Bareilly,Bhojipura,Karmapur Chaudhory,515804,mav hina hospital,izat nagar road,15-Nov-19,Medical ,Bedded Hospital,28.41751,79.42731167
10670,Uttar Pradesh,Lakhimpur-Kherii,Ramia Behar,Dhikarwa,294173,kanak hospital,dhikarwa,07-Sep-19,Medical ,Bedded Hospital,28.16827974,80.9951115
10671,Uttar Pradesh,Lakhimpur-Kherii,Ramia Behar,Dhikarwa,294173,bharti hospital ,dhikarwa,07-Oct-19,Medical ,Bedded Hospital,28.1702971,80.99184188
10672,Uttar Pradesh,Bareilly,Bithri Chainpur,Kamua Kalan,498553,gangasheel ayurvedic medical college and hospital,kamua kalan,27-Aug-19,Medical ,Bedded Hospital,28.34274173,79.54392314
10673,Uttar Pradesh,S.K. Nagar,Baghauli,Dhodya,296356,nisha hospital,Dhodya,28-Sep-19,Medical ,Bedded Hospital,26.93554167,83.08571667
10674,Uttar Pradesh,Azamgarh,Mehnagar,Dewait,265684,Umang chikitsalaya ,dewait,20-Aug-19,Medical ,Bedded Hospital,25.93406,83.12800667
10675,Uttar Pradesh,Pratapgarh,Bihar,Dewar  Patti,266001,madina narsinghom habib nagar ,derwa ,30-Sep-19,Medical ,Bedded Hospital,25.84642833,81.73700167
10676,Uttar Pradesh,Lakhimpur-Kherii,Lakhimpur,Dhakhawa,268100,hospital,oel dhakhwa,12-Aug-19,Medical ,Bedded Hospital,27.8355514,80.74104977
10677,Uttar Pradesh,Saharanpur,Baliakheri,Chunehti Gada,235984,Medigram Hospital ,Chunehti Gada,18-Aug-19,Medical ,Bedded Hospital,29.90391453,77.5147596
10678,Uttar Pradesh,Varanasi,Kashividyapith,Gopalpur,372500,Saint Marys hospital,Gopalpur Varanasi,14-Sep-19,Medical ,Bedded Hospital,25.31676,82.91128833
10679,Uttar Pradesh,Firozabad,Shikohabad,Dhanpura,288222,COMMUNITY HEALTH CENTER ,Dhanpura,05-Oct-19,Medical ,Community Health Centre,27.01057,78.55503
10680,Uttar Pradesh,Aligarh,Jawan,Dhaura Mafi,292525,n b hospital trauma dhaura mafi,dhaura mafi,18-Oct-19,Medical ,Bedded Hospital,27.93126287,78.08789277
10681,Uttar Pradesh,Gonda,Mujehna,Dhanepur,270999,CHC,dhanepur,17-Aug-19,Medical ,Community Health Centre,27.22223131,82.138012
10682,Uttar Pradesh,Maharajganj,Dhani,Dhani,271935,community health center ,Dhani ,07-Aug-19,Medical ,Community Health Centre,27.11960955,83.17256331
10683,Uttar Pradesh,Rae Bareli,Dalmau,Dalmau,245308,Community Health Centre,Dalmau,18-Oct-19,Medical ,Community Health Centre,26.07129114,81.03859565
10684,Uttar Pradesh,Barabanki,Dewa,Dewan,265810,Kadri nursing home dewa,Dewa,06-Sep-19,Medical ,Bedded Hospital,27.0324719,81.16691172
10685,Uttar Pradesh,Barabanki,Banki,Dharsania,291815,Sherwood education campus dharsaniya ,Dharsania,07-Sep-19,Medical ,Bedded Hospital,26.90694,81.13815167
10686,Uttar Pradesh,Bareilly,Bithri Chainpur,Dhora,297606,Sai Care center,pilbhit road,25-Aug-19,Medical ,Bedded Hospital,28.38287839,79.4548423
10687,Uttar Pradesh,Bareilly,Bithri Chainpur,Dhora,297606,kopal hospital,pilibhit road,13-Sep-19,Medical ,Bedded Hospital,28.38104904,79.45436418
10688,Uttar Pradesh,Bareilly,Bithri Chainpur,Dhora,297606,moryia hospital,plibhit road,13-Sep-19,Medical ,Bedded Hospital,28.37895691,79.4543159
10689,Uttar Pradesh,Bareilly,Bithri Chainpur,Dhora,297606,global hospital,harunagala,27-Aug-19,Medical ,Bedded Hospital,28.35993495,79.46268421
10690,Uttar Pradesh,Prayagraj,Chaka,Dandi,247648,s  r  m hospital  dandi ,s  r  m hospital  dandi ,22-Aug-19,Medical ,Bedded Hospital,25.39322225,81.84113367
10691,Uttar Pradesh,Prayagraj,Chaka,Dandi,247648,akash hospital dandi,akash hospital dandi,22-Aug-19,Medical ,Bedded Hospital,25.40185933,81.83864652
10692,Uttar Pradesh,Prayagraj,Chaka,Dandupur,247948,karma hospital dandupur,karma hospital dandupur,27-Aug-19,Medical ,Bedded Hospital,25.35154236,81.83265911
10693,Uttar Pradesh,Mau,Dohrighat,Dhanali Rampur,270132,Sneha Nursing Home ,Dhanauli Rampur Doharighat,07-Oct-19,Medical ,Bedded Hospital,26.26721214,83.50510765
10694,Uttar Pradesh,Sultanpur,Motigarpur,Dhema,293702,RAJKIYA UNANI CHIKITSALAYA ,DHEMA,07-Oct-19,Medical ,Bedded Hospital,26.25783849,82.35571462
10695,Uttar Pradesh,Bareilly,Bithri Chainpur,Dhora,297606,ganga Jyoti eye hospital,harunagala,27-Aug-19,Medical ,Bedded Hospital,28.36066774,79.46855845
10696,Uttar Pradesh,Bareilly,Bithri Chainpur,Dhora,297606,s r critical Care hospital and trama centre,harunagala,27-Aug-19,Medical ,Bedded Hospital,28.36075024,79.46573548
10697,Uttar Pradesh,Bareilly,Bithri Chainpur,Dhora,297606,medicity hospital,pilbhit road,24-Aug-19,Medical ,Bedded Hospital,28.37438451,79.45461004
10698,Uttar Pradesh,Bareilly,Bithri Chainpur,Dhora,297606,Life line neuro trauma hospital,pilbhit road,24-Aug-19,Medical ,Bedded Hospital,28.38150294,79.45485166
10699,Uttar Pradesh,Bareilly,Bithri Chainpur,Dhora,297606,DG Hospital,harunagala,27-Aug-19,Medical ,Bedded Hospital,28.35999357,79.46255766
10700,Uttar Pradesh,Bareilly,Bithri Chainpur,Dhora,297606,new shree dhanwantri hospital,harunagala,27-Aug-19,Medical ,Bedded Hospital,28.26380432,79.78551507
10701,Uttar Pradesh,Lakhimpur-Kherii,Dhaurahara,Dhourahra,298038,CHC dhaurahara ,Dhaurahara ,30-Sep-19,Medical ,Community Health Centre,28.00577607,81.09407
10702,Uttar Pradesh,Fatehpur,Dhata,Dhata karikan,292106,samudayik  swasthya kendra,Dhata Karikan,22-Aug-19,Medical ,Community Health Centre,25.53423667,81.24618833
10703,Uttar Pradesh,J.B.F.Nagar,Joya,Didoli,300346,life care hospital,didoli,12-Sep-19,Medical ,Bedded Hospital,28.82549509,78.53302234
10704,Uttar Pradesh,J.B.F.Nagar,Joya,Didoli,300346,family health care clinic,didoli,12-Sep-19,Medical ,Bedded Hospital,28.8256999,78.53135544
10705,Uttar Pradesh,Bijnor,Najibabad,Dhansaini,288301,Community health center Dhansaini,Dhansaini,28-Sep-19,Medical ,Community Health Centre,29.60553165,78.27997767
10706,Uttar Pradesh,Sonebhadra,Ghorawal,Divar,304272,matri shishu kalyan upkendra divar,divar ghorawal sonbhadra ,10-Oct-19,Medical ,Bedded Hospital,24.6867535,82.86204846
10707,Uttar Pradesh,S.R. Nagar(Bhadohi),Suriyawan,Dhanupur,288738,CHC health centre,Dhanaupur,11-Sep-19,Medical ,Community Health Centre,25.48635685,82.31778766
10708,Uttar Pradesh,Unnao,Sikrandarpur Sirosi,Dosti Nagar,310592, Mandya hostel and trama centre,dosti nagar,07-Sep-19,Medical ,Bedded Hospital,26.58371508,80.46807132
10709,Uttar Pradesh,Bulandshahr,Debai,Dibai Khurd,300037,Community Health Centre Debai,Debai,23-Oct-19,Medical ,Community Health Centre,28.20858698,78.25048043
10710,Uttar Pradesh,Prayagraj,Manda,didhiya ,300305,amar bedded hospital,dighiya meja prayagraj,20-Aug-19,Medical ,Bedded Hospital,25.1780123,82.1971448
10711,Uttar Pradesh,Rae Bareli,Salon,Dharai,289447,hospital,Dharai,18-Aug-19,Medical ,Bedded Hospital,25.97031826,81.47781981
10712,Uttar Pradesh,Moradabad,Dilari,Dilra Dilari,302879,community Health Center,Dilra Dilari,16-Aug-19,Medical ,Community Health Centre,29.04495401,78.75219611
10713,Uttar Pradesh,Jaunpur,Barsathi,Dinapur(yb),303247,Fakir Haspital, Alamganj,02-Nov-19,Medical ,Bedded Hospital,25.49734833,82.47320667
10714,Uttar Pradesh,Lucknow,Chinhat,Dhawan,293016,Lavanya Aurvedic Hospital and Research centre for Cancer and Aids,Dhawan,19-Oct-19,Medical ,Bedded Hospital,26.91264782,81.04605042
10715,Uttar Pradesh,J.B.F.Nagar,Gangeshwari,Dhawarsi,293069,samudayik swasthay kendra,dhawarsi,11-Sep-19,Medical ,Community Health Centre,28.58883833,78.38187333
10716,Uttar Pradesh,Sonebhadra,Robertsganj,Barwan,109050,gayaratwal bedded hospital gayaratwal barwan robertsganj Sonebhadra,gayaratwal banwan robertsganj Sonebhadra,12-Oct-19,Medical ,Bedded Hospital,24.73537629,83.08877088
10717,Uttar Pradesh,Siddharathnagar,Barhni,Dheberua,293252,goverment ayurvedic hospital dheberua,dheberua,29-Nov-19,Medical ,Bedded Hospital,27.45102806,82.80068381
10718,Uttar Pradesh,Agra,Bah,Dhobai,294853,khushi nursing home ,dhobai bah,04-Sep-19,Medical ,Bedded Hospital,26.87131673,78.58563911
10719,Uttar Pradesh,Agra,Bah,Dhobai,294853,new light hospital,dhobai bah,04-Sep-19,Medical ,Bedded Hospital,26.87238835,78.58062041
10720,Uttar Pradesh,Agra,Bah,Dhobai,294853,guru gorakhnath hospital,dhobai bah,04-Sep-19,Medical ,Bedded Hospital,26.87158223,78.58466818
10721,Uttar Pradesh,Agra,Bah,Dhobai,294853,shambhu nath azad CHC Bah,bah ,04-Sep-19,Medical ,Community Health Centre,26.87036831,78.59006093
10722,Uttar Pradesh,S.K. Nagar,Khalilabad,Bargo,102637,hospital,medical road ,27-Aug-19,Medical ,Bedded Hospital,26.78351872,83.0724831
10723,Uttar Pradesh,Sitapur,Mahmoodabad,Dhuriya,299497,hospital,dhuriya,31-Oct-19,Medical ,Bedded Hospital,27.41729496,81.2110116
10724,Uttar Pradesh,Azamgarh,Azamatgarh,Dighwania,301076,Rajakiy Aruvedik hospitals,Dighwania,22-Oct-19,Medical ,Bedded Hospital,26.16805333,83.39882667
10725,Uttar Pradesh,Gorakhpur,Khorabar,Dubey Tola,312279,New speed Hospital and nursing home,Khorabar,30-Nov-19,Medical ,Bedded Hospital,26.6452084,83.49738869
10726,Uttar Pradesh,Fatehpur,Khajuha,Dhaukalpur Ka Purwa,292394,community health center,bindaki,21-Aug-19,Medical ,Community Health Centre,26.04958333,80.57622167
10727,Uttar Pradesh,Prayagraj,Karchhana,Diha uparhar,301810,vijay clinic diha uparhar,vijay clinic diha uparhar,01-Sep-19,Medical ,Bedded Hospital,25.31181336,81.994558
10728,Uttar Pradesh,Agra,Etmadpur,Barhan,103070,Dr ishu clinic ,teacher colony barhan,07-Aug-19,Medical ,Bedded Hospital,27.3274867,78.19156794
10729,Uttar Pradesh,Sultanpur,Bhadaiya,DOMUHAN CHAURAHA,308495,CHC,Domuhan chauraha,08-Aug-19,Medical ,Community Health Centre,26.20608833,82.136905
10730,Uttar Pradesh,Sultanpur,Bhadaiya,DOMUHAN CHAURAHA,308495,communityhealthcentre,Domuhanchauraha,31-Oct-19,Medical ,Community Health Centre,26.20589742,82.13682266
10731,Uttar Pradesh,Prayagraj,Baharia,ChaK Amanullah Urf Chaq Moodan,308576,Satyam Poly Clinic Donaiya,baharia,24-Aug-19,Medical ,Bedded Hospital,25.64093,82.00340167
10732,Uttar Pradesh,Bareilly,Kiyara,Barkaliganj,105332,kasturi nursing home,bakarganj,13-Oct-19,Medical ,Bedded Hospital,28.36572289,79.39974904
10733,Uttar Pradesh,Bareilly,Kiyara,Barkaliganj,105332,subham lodhi nursing home,bakarganj,13-Oct-19,Medical ,Bedded Hospital,28.37125736,79.39753127
10734,Uttar Pradesh,Bareilly,Kiyara,Barkaliganj,105332,tandan hospital,bidholiya,13-Oct-19,Medical ,Bedded Hospital,28.37997732,79.38797022
10735,Uttar Pradesh,Etawah,Basrehar,BASREHAR,112319,community health centre,basrehar,12-Aug-19,Medical ,Community Health Centre,26.84143955,79.08564572
10736,Uttar Pradesh,Gorakhpur,Sardarnagar,Dumri Khurd,316241,JK hospital,dumri khurd Block-Sardar Nagar Dist Gorakhpur,09-Sep-19,Medical ,Bedded Hospital,26.64934849,83.56973878
10737,Uttar Pradesh,Gorakhpur,Sardarnagar,Dumri Khurd,316241,Chandra hospital,dumri khurd Block-Sardar Nagar Dist Gorakhpur,09-Sep-19,Medical ,Bedded Hospital,26.65000054,83.56837236
10738,Uttar Pradesh,Bareilly,Kiyara,Barkaliganj,105332,Jain nursing home,bakarganj,13-Oct-19,Medical ,Bedded Hospital,28.35789621,79.40212548
10739,Uttar Pradesh,Bareilly,Kiyara,Barkaliganj,105332,B R Gupta hospital,bakarganj,13-Oct-19,Medical ,Bedded Hospital,28.37064207,79.39854205
10740,Uttar Pradesh,Agra,Bah,Bateshwar,113973,sai prakratik chikitsalay ,bateswar bah ,16-Aug-19,Medical ,Bedded Hospital,26.92750125,78.55355704
10741,Uttar Pradesh,Agra,Bah,Bateshwar,113973,chc,bateshwar,16-Aug-19,Medical ,Community Health Centre,26.93697484,78.53992641
10742,Uttar Pradesh,Prayagraj,Pratappur,BARISTA KALA DEEH,104778,saamudaayik health center ,Batista Kala deeh pratappur ,27-Aug-19,Medical ,Community Health Centre,25.54177,82.17777
10743,Uttar Pradesh,Siddharathnagar,Dumariaganj,Dumaria Ganj,315511,life care hospital dumariyaganj,dumariyaganj,17-Sep-19,Medical ,Bedded Hospital,27.1904909,82.65239822
10744,Uttar Pradesh,Siddharathnagar,Dumariaganj,Dumaria Ganj,315511,al hayat hospital,dumariyaganj,17-Sep-19,Medical ,Bedded Hospital,27.19144856,82.65193462
10745,Uttar Pradesh,Siddharathnagar,Dumariaganj,Dumaria Ganj,315511,vasundhara hospital dumariyaganj,dumariyaganj,17-Sep-19,Medical ,Bedded Hospital,27.18944101,82.65271665
10746,Uttar Pradesh,Kushinagar,Dudhai,Dudhi Bazar Tola,313076,commnity health centre,dhudhai,25-Aug-19,Medical ,Bedded Hospital,26.79836385,84.15512868
10747,Uttar Pradesh,Ghazipur,Jamania,Duhia,314048,CHC center ,duhiya ,27-Aug-19,Medical ,Community Health Centre,25.56055147,83.58929085
10748,Uttar Pradesh,Lakhimpur-Kherii,Pasgawan,Behra Jorawar,120132,Bedded Hospital,Behra jorawar,17-Nov-19,Medical ,Bedded Hospital,27.70929667,80.33328667
10749,Uttar Pradesh,Muzaffarnagar,Baghra,Barwala,109022,Rajyakiya Aurvedic chikitsalaya ,Barwala ,29-Aug-19,Medical ,Bedded Hospital,29.43160614,77.60971256
10750,Uttar Pradesh,Chandauli,Niyamatabad,Dulhipur,314812,R C hospital,dilhipur chandouli,24-Oct-19,Medical ,Bedded Hospital,25.3011306,83.0837363
10751,Uttar Pradesh,Chandauli,Niyamatabad,Dulhipur,314812,jd hospital,dilhipur chandouli,02-Nov-19,Medical ,Bedded Hospital,25.30173959,83.08290502
10752,Uttar Pradesh,Chandauli,Niyamatabad,Dulhipur,314812,ramkrishna eye hospital,ramkrishna eye hospital,16-Sep-19,Medical ,Bedded Hospital,25.3030318,83.07867765
10753,Uttar Pradesh,Ballia,Hanumanganj,BASANTPUR MUSTAHAKAM,110178,needed hospital,basantpur,23-Aug-19,Medical ,Bedded Hospital,25.81654655,84.13142235
10754,Uttar Pradesh,Ballia,Hanumanganj,BASANTPUR MUSTAHAKAM,110178,p h c hanumangange,hanumangange,23-Aug-19,Medical ,Community Health Centre,25.81569733,84.13224207
10755,Uttar Pradesh,Ballia,Dubhar,Dubhar,312348,community centre,dubhar,24-Aug-19,Medical ,Community Health Centre,25.74456706,84.24217123
10756,Uttar Pradesh,Lucknow,Bakshi Ka Talab,Basha,111444,Integral Hospital,Basha kursi rd,09-Oct-19,Medical ,Bedded Hospital,26.95942176,80.99886934
10757,Uttar Pradesh,Lucknow,Bakshi Ka Talab,Basha,111444,New life Hospital,Basha kursi rd,09-Oct-19,Medical ,Bedded Hospital,26.95976433,80.99918906
10758,Uttar Pradesh,Gonda,Jhanijhri,Bargaon,102345,railway hospital,bargaon gonda,27-Aug-19,Medical ,Bedded Hospital,27.15951944,81.9738804
10759,Uttar Pradesh,Kannauj,Talgram,Dundwa Buzurg,316677,Community health center,Gursayaiganj kannauj,12-Oct-19,Medical ,Community Health Centre,27.11646453,79.73354337
10760,Uttar Pradesh,Lakhimpur-Kherii,Kumbhi / Gola,Bastauli,112554,samudaik ,bastauli,08-Aug-19,Medical ,Community Health Centre,27.9350629,80.7774639
10761,Uttar Pradesh,Hardoi,Bawan,Bawan,116073,community health centre,bawan,13-Aug-19,Medical ,Community Health Centre,27.40075071,80.02364692
10762,Uttar Pradesh,Hardoi,Bawan,Bawan,116073,community health center,bawan,05-Dec-19,Medical ,Community Health Centre,27.39036205,80.0171349
10763,Uttar Pradesh,Gorakhpur,Brahmpur,Barhi,103347,community Health Center,"barhi, block Brahmpur Dist-Gorakhpur",11-Sep-19,Medical ,Community Health Centre,26.592375,83.48478595
10764,Uttar Pradesh,Gorakhpur,Brahmpur,Barhi,103347,Susana ji hospital,"barhi, Block-Brahmpur Dist-Gorakhpur",11-Sep-19,Medical ,Bedded Hospital,26.59298442,83.48418448
10765,Uttar Pradesh,Prayagraj,Urua,Bari,103680,liyakat ali hospital bari,hospital bari,18-Aug-19,Medical ,Bedded Hospital,25.24969609,82.09224942
10766,Uttar Pradesh,Azamgarh,Koyalasa,Bazar,116657,CHC,Ranipur,23-Aug-19,Medical ,Community Health Centre,26.26610269,83.02063758
10767,Uttar Pradesh,Prayagraj,Karchhana,beerpur,119038,samudaik swast kendra beerpur,samudaik swast kendra beerpur,23-Aug-19,Medical ,Community Health Centre,25.22677732,82.01167724
10768,Uttar Pradesh,Prayagraj,Karchhana,beerpur,119038,priti clinic beerpur,priti clinic  beerpur,22-Aug-19,Medical ,Bedded Hospital,25.22197771,82.01020424
10769,Uttar Pradesh,Hardoi,Sandila,Begam Ganj,119167,r b hospital,begam ganj,28-Dec-19,Medical ,Bedded Hospital,27.04425546,80.53171739
10770,Uttar Pradesh,Hardoi,Sandila,Begam Ganj,119167,manas hospital and matternity center,sandila,28-Dec-19,Medical ,Bedded Hospital,27.0594696,80.5142363
10771,Uttar Pradesh,Hardoi,Sandila,Begam Ganj,119167,ais hospital and maternity center,sandila,28-Dec-19,Medical ,Bedded Hospital,27.05959708,80.51402623
10772,Uttar Pradesh,Hardoi,Sandila,Begam Ganj,119167,tripathi hospital,sandila,28-Dec-19,Medical ,Bedded Hospital,27.05935435,80.51381929
10773,Uttar Pradesh,Hardoi,Sandila,Begam Ganj,119167,sandila hospital and trama center,sandila,28-Dec-19,Medical ,Bedded Hospital,27.05795623,80.51759806
